AIG,BABA,FANG,FB,GS,IBM,Macy,Morgan_Stanley,MSFT,Sears,SP_500,TWTR,
-0.0011064,0.0010426,0.0108998,0.000514602,-0.000265301,-0.00058164,-0.000474121,-0.000274085,0.000210904,-0.0225423,-0.000104484,-0.00026571,
0,0.00227101,-0.00763654,0.00346665,0.000212247,-0.000258615,0.000158065,0.00082203,0.000632444,-0.00187559,0.000472579,0.00106242,
0.00165914,0,0.000957763,-0.00141089,0.00206705,0.00187345,0.000947867,0.00246204,0.000632045,0.00686002,0.000879894,0.00450272,
0.00184027,-0.00189215,0.00439393,0.00115451,-0.00100649,-0.000387322,0.00142012,-0.0019144,0.000421141,0,-0.000606398,-0.00132223,
-0.00460703,0.00170309,0,-0.00243887,-0.000954452,0,-0.00173597,0,-0.00400802,-0.0003108,-0.00112928,-0.00105904,
0.000923105,-0.00113507,-0.00362838,0.00205418,0.00132538,0.000968023,0.000473747,0.00109439,0.00126743,0.0157289,0.000522512,0.00290967,
0.000737871,-0.00170503,0.00114723,-0.000898184,-0.000423931,-0.000129016,-0.000631712,-0.00136818,0.000211082,-0.0175958,-0.000288592,-0.00132153,
-0.000184417,0.00132639,0.000573121,0.00153925,-0.00106061,-0.000451686,0.000631712,0.000273785,-0.000211082,-0.000311478,0.0001045,0.00264131,
0.0003688,0.00132463,-0.00440234,0.00115289,0,0.000580701,-0.000315806,0,0.000633112,0,0.000328357,0.000263748,
0.000368664,-9.45582e-05,0.00688208,-0.000384148,0.000530448,0.000386947,-0.000315906,0.000547345,-0.000210993,0,0.000318303,0.0044731,
0.000921065,9.45582e-05,-0.000381098,0.000384148,-0.00047739,0.000515697,0.000315906,0.000820457,-0.000211037,0.00590155,0.000651212,-0.00289208,
-0.000368324,-0.000189125,-0.00209864,-0.000768443,5.30546e-05,-0.000838142,0.000157916,-0.000546896,0.000632978,0.00278336,-2.98172e-05,0.000789578,
-0.00184366,-0.000756859,-0.00133779,-0.000256279,-0.00100852,-0.000451598,-0.000473821,-0.00027356,0,-0.00154536,-0.000328048,0.000788955,
0.00165945,-0.000378644,0.00381753,0.000512492,0.000955465,-0.000580926,0.00268202,-0.000547345,-0.000421941,0,-7.45714e-05,0.00131354,
-0.00498662,-0.00560172,-0.0109186,-0.00410731,0.00100756,-0.00174481,-0.0022082,-0.00301577,0.000421941,-0.00807458,-0.00257862,-0.00737816,
-0.00111152,-0.000285673,0.00173194,0.00346665,-0.00302572,0.000323342,-0.00300467,0,-0.000210948,0.00124649,-7.47695e-05,0.00158562,
-0.00148396,-0.00142959,-0.00365983,-0.00256674,-0.000797766,-0.00122926,-0.000633714,-0.00192387,-0.00401649,-0.00343161,-0.000668189,-0.000528262,
0.0075821,0.00200086,0.0109396,0.000385431,-5.32071e-05,0,0.00316456,-0.000550358,-0.000211842,0.000312451,-8.48022e-05,0.00237498,
-0.0059128,0.00560013,-0.00555078,0.000513677,-5.32099e-05,0.00426357,0.000473821,0.0063109,0.000635391,0.0024961,0.000319218,0.000527009,
0.000370576,-0.00369826,0.00497799,0.0008983,0.000691508,-0.00439306,-0.00268796,-0.00823954,0.0040148,-0.00187149,0.000463682,-0.00026347,
